"N","L","r","steps","threads","gridSize","machine","wall.clock.time","task.clock","context.switches","cycles","instructions","branches","branch.misses","parTime","seqTime","speedup"
2000,20000,1,1000,1,64,"7700K",115.736317395,115734.033084,60,484478108975,728901237406,67339728021,3083745135,194.582323645,192.820017132,1.66602861981446
2000,20000,1,1000,10,64,"7700K",27.89412972,220592.669037,139737,701985215162,729947120595,67551921717,3117761062,33.979461953,192.820017132,6.91256615881257
2000,20000,1,1000,12,64,"7700K",27.961225918,220819.905121,173922,712209664870,730147364069,67592579799,3124392829,34.772676422,192.820017132,6.89597865621022
2000,20000,1,1000,16,64,"7700K",28.222404438,222734.862443,251309,709264990499,730619174026,67688088686,3123142348,33.941017515,192.820017132,6.83216121984199
2000,20000,1,1000,19,64,"7700K",27.812993457,219244.053671,304063,706918594643,730947283169,67754419638,3126874994,34.13834959,192.820017132,6.93273154614254
2000,20000,1,1000,2,64,"7700K",61.539886915,123041.204516,347,486325821447,728911399955,67347292214,3081754113,99.836064554,192.820017132,3.13325270484046
2000,20000,1,1000,20,64,"7700K",27.963489731,220371.003762,321840,710269300932,731059057373,67776963554,3126553854,34.85686451,192.820017132,6.89542038518325
2000,20000,1,1000,21,64,"7700K",27.816689793,219238.501805,339774,707789144369,731167330621,67798939445,3127172459,34.167566589,192.820017132,6.93181031125144
2000,20000,1,1000,24,64,"7700K",27.869665022,219503.140225,393152,709665252161,731504639118,67866992445,3125565695,34.959673767,192.820017132,6.91863418450814
2000,20000,1,1000,28,64,"7700K",27.303724967,214867.639425,462631,713721773035,731941894949,67955300819,3130202810,34.430326712,192.820017132,7.06204070561974
2000,20000,1,1000,32,64,"7700K",28.470592345,223852.890387,532417,713074180376,732395674332,68046550310,3134873121,35.16527768,192.820017132,6.77260292990929
2000,20000,1,1000,4,64,"7700K",36.651180248,146497.258833,907,488373410694,728983013776,67367165411,3082102616,51.959363332,192.820017132,5.26094973824266
2000,20000,1,1000,40,64,"7700K",28.598826556,224382.329129,665661,716443832216,733261185562,68220702114,3133215358,34.663909361,192.820017132,6.74223527159182
2000,20000,1,1000,6,64,"7700K",31.308327102,187673.164227,263,615333818499,729077199971,67390297985,3102266798,42.362891067,192.820017132,6.15874545145156
2000,20000,1,1000,64,64,"7700K",29.173364561,225962.150829,1058490,725301306260,735843639859,68740019238,3143952461,35.100505005,192.820017132,6.60945420706697
2000,20000,1,1000,7,64,"7700K",29.640512164,207271.840876,121,664156681560,729130419366,67402856091,3109700870,37.118043415,192.820017132,6.50528628065308
2000,20000,1,1000,8,64,"7700K",27.490733986,219673.199583,302,708321994928,729195363659,67421563713,3112034105,33.511003613,192.820017132,7.01400032571688
2000,20000,1,1000,9,64,"7700K",27.508149558,217736.181715,127355,701197897510,729854867262,67534042947,3119181868,33.704767896,192.820017132,7.0095597206728
2000,20000,1,1000,1,64,"XeS4114",165.977520812,165976.398385,44,478308921194,728931724065,67345836020,3115015880,278.367902579,278.44652389,1.67761587549793
2000,20000,1,1000,10,64,"XeS4114",22.375578793,223146.251156,144,489648315079,729256761882,67442406173,3139224002,37.12181928,278.44652389,12.4442154755393
2000,20000,1,1000,12,64,"XeS4114",21.117301616,252685.766394,191,554494773725,729380568889,67475148803,3138125889,31.976795242,278.44652389,13.185705681214
2000,20000,1,1000,16,64,"XeS4114",18.329897799,292120.326956,303,641349167916,729735109510,67572585001,3116210859,25.154869456,278.44652389,15.190838865735
2000,20000,1,1000,19,64,"XeS4114",16.786818898,317879.302513,998,697556734050,729736115816,67568657690,3121203965,21.745337283,278.44652389,16.5872120013861
2000,20000,1,1000,2,64,"XeS4114",84.331673055,168585.418535,46,483631978308,728936716096,67353068997,3126031789,141.064834606,278.44652389,3.30180244032869
2000,20000,1,1000,20,64,"XeS4114",16.366239528,326152.351138,409,715655546620,729839587691,67598674976,3113052851,20.932321514,278.44652389,17.0134699185859
2000,20000,1,1000,21,64,"XeS4114",16.661552473,320103.765596,287957,701530135388,730883708674,67752924594,3128177476,21.116180058,278.44652389,16.7119195129759
2000,20000,1,1000,24,64,"XeS4114",16.766415048,320564.698642,340589,702548974061,731240699087,67828376370,3130183588,21.259515911,278.44652389,16.6073977706531
2000,20000,1,1000,28,64,"XeS4114",16.807642299,321322.768051,392901,704070895763,731586058418,67900282347,3129915368,21.412151822,278.44652389,16.5666616968976
2000,20000,1,1000,32,64,"XeS4114",16.931208201,322239.700239,464989,705980645497,732028153432,67993425537,3132990273,21.543190771,278.44652389,16.4457562971527
2000,20000,1,1000,4,64,"XeS4114",45.902476877,183379.357167,137,485323354521,729005131118,67373744783,3136080311,76.432358063,278.44652389,6.06604573073744
2000,20000,1,1000,40,64,"XeS4114",17.175500432,323891.186529,606843,709312833158,732927312385,68179576919,3140051151,21.783111676,278.44652389,16.2118434331742
2000,20000,1,1000,6,64,"XeS4114",36.038012542,215832.968754,72,494548540632,729104796820,67400087725,3145923983,58.996182335,278.44652389,7.7264672563585
2000,20000,1,1000,64,64,"XeS4114",17.773661958,328825.155224,1017899,719429670220,735465612707,68712092253,3152712169,22.344047346,278.44652389,15.6662439371235
2000,20000,1,1000,7,64,"XeS4114",31.12847598,217487.230152,162,498631327342,729144540202,67410834175,3150739437,50.594846531,278.44652389,8.94507408807619
2000,20000,1,1000,8,64,"XeS4114",26.780366945,213749.495372,148,490015820210,729178228912,67421129136,3138546285,44.336820682,278.44652389,10.3974125695088
2000,20000,1,1000,9,64,"XeS4114",24.956250106,224051.764277,163,491653682752,729228372397,67433911748,3139024811,41.043333001,278.44652389,11.1573863343778
