N,L,r,steps,threads,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,1,7700K,194.582323645,194580.388368,51,814738719943,858073885748,64410517315,23594067
2000,20000.0,1.0,1000,10,7700K,33.979461953,269807.242248,139990,906418806704,859087411574,64617483319,25451583
2000,20000.0,1.0,1000,12,7700K,34.772676422,275554.524619,174560,907648591452,859290427430,64658733389,26399471
2000,20000.0,1.0,1000,40,7700K,34.663909361,273195.115758,670771,921104874323,862413719905,65288471826,39868992
2000,20000.0,1.0,1000,6,7700K,42.362891067,254005.035899,143,873576634178,858171591040,64441633896,19911540
2000,20000.0,1.0,1000,64,7700K,35.100505005,274215.423685,1064889,926877657174,865000825415,65808854633,51513857
2000,20000.0,1.0,1000,7,7700K,37.118043415,259618.896012,162,891759842737,858202498848,64449331407,19071335
2000,20000.0,1.0,1000,16,7700K,33.941017515,268690.600332,251396,906625182490,859751717422,64752202751,28646950
2000,20000.0,1.0,1000,19,7700K,34.13834959,270042.085211,305435,908344391856,860085906454,64819599261,30232148
2000,20000.0,1.0,1000,2,7700K,99.836064554,199636.331218,153,816513188694,858064393752,64413642762,23404544
2000,20000.0,1.0,1000,20,7700K,34.85686451,275699.970231,324278,908371472190,860202659261,64843232622,30696643
2000,20000.0,1.0,1000,21,7700K,34.167566589,270211.818169,341293,910129607765,860305633744,64864126072,31174890
2000,20000.0,1.0,1000,24,7700K,34.959673767,276303.722265,398025,911066326571,860661625986,64935771032,32555296
2000,20000.0,1.0,1000,4,7700K,51.959363332,207728.240673,1090,818003618654,858098980023,64424764562,23127902
2000,20000.0,1.0,1000,28,7700K,34.430326712,272005.97173,467543,915461431851,861095431433,65023434729,34452629
2000,20000.0,1.0,1000,32,7700K,35.16527768,277606.57803,537679,914217878793,861551198356,65114974935,36297574
2000,20000.0,1.0,1000,8,7700K,33.511003613,267837.256741,1135,903271199021,858253571359,64463848119,18304969
2000,20000.0,1.0,1000,9,7700K,33.704767896,267859.527303,126687,902937322175,858988724256,64598324206,24806576
2000,20000.0,1.0,1000,1,XeS4114,278.367902579,278365.145389,71,801914432008,858124658681,64420683327,23581982
2000,20000.0,1.0,1000,10,XeS4114,37.12181928,370590.094943,141,813267197620,858314014207,64477586833,23641636
2000,20000.0,1.0,1000,12,XeS4114,31.976795242,382973.099866,535,840450606430,858404642494,64501619003,22085020
2000,20000.0,1.0,1000,40,XeS4114,21.783111676,415867.034972,608462,911296396272,862095624644,65250634015,45004273
2000,20000.0,1.0,1000,6,XeS4114,58.996182335,353622.743396,128,811310927880,858223329986,64453322745,23493729
2000,20000.0,1.0,1000,64,XeS4114,22.344047346,420697.469311,1021459,921123737812,864654404837,65786937373,61172277
2000,20000.0,1.0,1000,7,XeS4114,50.594846531,353740.501906,242,811471500224,858247149873,64459982353,23274671
2000,20000.0,1.0,1000,16,XeS4114,25.154869456,401393.228704,667,880840976920,858519224380,64532335690,19838122
2000,20000.0,1.0,1000,19,XeS4114,21.745337283,412033.367235,478,904113544258,858663101730,64572162455,18969901
2000,20000.0,1.0,1000,2,XeS4114,141.064834606,282055.620318,76,806112593186,858108395922,64422690922,23476131
2000,20000.0,1.0,1000,20,XeS4114,20.932321514,417410.083002,526,916476060286,858929840489,64647938692,18405767
2000,20000.0,1.0,1000,21,XeS4114,21.116180058,412114.083025,275378,903612390566,859995902050,64811873308,31448363
2000,20000.0,1.0,1000,24,XeS4114,21.259515911,412669.343964,330513,904712489825,860365714651,64888866947,33859519
2000,20000.0,1.0,1000,4,XeS4114,76.432358063,305513.824,169,812488480695,858150052059,64435594827,23122355
2000,20000.0,1.0,1000,28,XeS4114,21.412151822,413560.753337,392958,906580086840,860759500387,64971720684,36623126
2000,20000.0,1.0,1000,32,XeS4114,21.543190771,414292.012031,462920,908081752932,861194730508,65062569417,39544788
2000,20000.0,1.0,1000,8,XeS4114,44.336820682,354172.743466,214,811949154613,858263555689,64464838044,23620545
2000,20000.0,1.0,1000,9,XeS4114,41.043333001,368782.722394,166,817921782098,858314791612,64478092160,23151661
