"N","L","r","steps","threads","machine","wall.clock.time","task.clock","context.switches","cycles","instructions","branches","branch.misses","seqTime","speedup"
1000,20000,1,1000,1,"7700K",12.600621873,12599.3006,52,51487955279,53997184794,4097468505,4336987,12.456510921,0.988563187321033
1000,20000,1,1000,10,"7700K",2.62574041,17432.332725,36284,57755075438,54234805341,4147092187,6005879,12.456510921,4.74399939672635
1000,20000,1,1000,12,"7700K",2.64468023,17329.328368,46750,58049986539,54293775900,4159145712,6366303,12.456510921,4.71002534813065
1000,20000,1,1000,16,"7700K",2.629053001,17003.257053,63432,58687700466,54403406319,4181155481,6958787,12.456510921,4.738021985963
1000,20000,1,1000,19,"7700K",2.573264782,17017.011863,74949,58727110554,54479008936,4196381586,7005336,12.456510921,4.84074200530523
1000,20000,1,1000,2,"7700K",6.662201568,13312.820231,35,52085062684,53991820211,4098222341,4363497,12.456510921,1.86972891676399
1000,20000,1,1000,20,"7700K",2.702506646,17771.974467,80771,58930347116,54515277335,4203722393,7300666,12.456510921,4.60924339980328
1000,20000,1,1000,21,"7700K",2.639193965,17054.625159,84212,59020653176,54541597264,4208917872,7467213,12.456510921,4.71981638568198
1000,20000,1,1000,24,"7700K",2.752278375,17751.761336,98585,59524800842,54630589953,4226936483,7933907,12.456510921,4.52589063451839
1000,20000,1,1000,28,"7700K",2.660217547,17355.483709,113171,59711677984,54724595257,4245887230,8152673,12.456510921,4.68251588485594
1000,20000,1,1000,32,"7700K",2.748889637,17896.146713,129735,60436575279,54832409850,4267594394,8511480,12.456510921,4.53146999913551
1000,20000,1,1000,4,"7700K",3.890786997,15337.200702,4413,54745983240,54023234900,4106061154,4194783,12.456510921,3.20154018469904
1000,20000,1,1000,40,"7700K",2.882018067,18157.858901,163229,60883204159,55053668908,4312217151,9585670,12.456510921,4.32214879692494
1000,20000,1,1000,6,"7700K",2.777689096,16481.162102,2253,57469005152,54037747354,4111072261,4005345,12.456510921,4.48448710078387
1000,20000,1,1000,64,"7700K",2.945719416,18049.777541,258689,63683621066,55689330729,4441179194,12684395,12.456510921,4.22868208470267
1000,20000,1,1000,7,"7700K",2.117338313,14653.778334,1414,58471476614,54051594561,4115719929,3990549,12.456510921,5.88309900431108
1000,20000,1,1000,8,"7700K",14.002484218,96725.689975,25513,347738753817,67687008592,7993113618,6142769,12.456510921,0.889592927017002
1000,20000,1,1000,9,"7700K",2.454889775,16288.932011,32220,57673346346,54205887356,4141362782,5831223,12.456510921,5.07416302265547
1000,20000,1,1000,1,"XeS4114",17.92207437,17921.305255,6,50386405033,53999542142,4097936007,4318531,18.689269978,1.04280729965524
1000,20000,1,1000,10,"XeS4114",2.703763108,26732.76647,43,58519115217,54050542475,4115264311,4005967,18.689269978,6.91231784423031
1000,20000,1,1000,12,"XeS4114",2.272147423,27001.823938,68,59131342994,54069934906,4120670180,3977434,18.689269978,8.22537736276102
1000,20000,1,1000,16,"XeS4114",1.818068264,28698.510627,151,62789268445,54126703164,4136555640,3871471,18.689269978,10.2797405070374
1000,20000,1,1000,19,"XeS4114",1.677129159,31402.185662,172,68947209186,54274270705,4178297049,3896162,18.689269978,11.1436080385983
1000,20000,1,1000,2,"XeS4114",10.064382111,20100.444774,11,52595141730,53995470057,4098979618,4304630,18.689269978,1.85697142376712
1000,20000,1,1000,20,"XeS4114",58.484736872,1108333.069685,11883,2745375841030,180609033201,40178303154,9951189,18.689269978,0.319558075791696
1000,20000,1,1000,21,"XeS4114",1.63543819,27052.046884,74751,58909444345,54472164131,4198264434,7063998,18.689269978,11.427683474849
1000,20000,1,1000,24,"XeS4114",1.638996284,27200.953696,84224,59207119650,54538118381,4212144885,7529404,18.689269978,11.4028751379402
1000,20000,1,1000,28,"XeS4114",1.68182404,27356.976121,98039,59527170797,54629028036,4231414109,8020059,18.689269978,11.1125001982966
1000,20000,1,1000,32,"XeS4114",1.726336186,27586.953634,116446,60007771306,54740432637,4254797918,8649515,18.689269978,10.8259736021081
1000,20000,1,1000,4,"XeS4114",5.942254926,23698.726395,27,54310138643,54005124356,4102359640,4171401,18.689269978,3.14514779502747
1000,20000,1,1000,40,"XeS4114",1.781021548,28010.326628,152201,60866148200,54970768866,4302844056,10167171,18.689269978,10.4935675814743
1000,20000,1,1000,6,"XeS4114",4.116634926,24576.167761,74,56227399614,54019597063,4106611809,4138545,18.689269978,4.53993864259412
1000,20000,1,1000,64,"XeS4114",1.944684992,29230.549991,252215,63403090578,55604757493,4435558780,13896857,18.689269978,9.61043565147234
1000,20000,1,1000,7,"XeS4114",3.620348041,25157.978276,80,57551412996,54052566611,4116099071,3922025,18.689269978,5.16228543950645
1000,20000,1,1000,8,"XeS4114",3.223814533,25565.748625,73,58328975672,54060660548,4118273276,4040064,18.689269978,5.79725346687616
1000,20000,1,1000,9,"XeS4114",2.985719613,26639.5426,43,58681666892,54064790741,4119405718,4072702,18.689269978,6.25955293880437
