N,L,r,steps,config,machine,time,checkWallCollision,checkCollision,settleCollision,updateParticles
3000,20000.0,1.0,1000,nofmad,JetsonTX2,1699.0288670000007,0.128252,832.176467,0.030199,0.059817
4000,20000.0,1.0,1000,nofmad,JetsonTX2,2997.4142190000007,0.167604,1481.568625,0.040942,0.076517
1000,20000.0,1.0,1000,fmad,JetsonTX2,211.16090499999996,0.058,87.97075,0.01536,0.02305
1000,20000.0,1.0,1000,nofmad,JetsonTX2,210.80617799999996,0.049803,87.884333,0.01446,0.020701
2000,20000.0,1.0,1000,fmad,JetsonTX2,759.3764699999998,0.094997,361.962279,0.020084,0.042938
2000,20000.0,1.0,1000,nofmad,JetsonTX2,759.3344950000001,0.111417,361.969205,0.025165,0.045749
3000,20000.0,1.0,1000,fmad,JetsonTX2,1688.7311420000003,0.127254,827.154028,0.028634,0.058731
4000,20000.0,1.0,1000,fmad,JetsonTX2,2993.9959479999998,0.167258,1480.015012,0.038817,0.07683
6000,20000.0,1.0,1000,fmad,JetsonTX2,6677.874548000002,0.239619,3321.253611,0.060728,0.112575
6000,20000.0,1.0,1000,nofmad,JetsonTX2,6730.0196639999995,0.238472,3347.825323,0.065452,0.113127
1000,20000.0,1.0,1000,fmad,TeslaT4,1.504155813,0.0437697,0.08355280999999999,0.5110484860000001,0.003940366
1000,20000.0,1.0,1000,nofmad,TeslaT4,1.5371937460000007,0.043409923999999996,0.10915811600000001,0.505923972,0.003910477
12000,20000.0,1.0,1000,fmad,TeslaT4,25.931780000000003,0.131247,11.420007,1.297421,0.002388
12000,20000.0,1.0,1000,nofmad,TeslaT4,33.18421,0.129493,15.05091,1.293295,0.002382
16000,20000.0,1.0,1000,fmad,TeslaT4,43.489444,0.15413,20.067815,1.395348,0.00242
32000,20000.0,1.0,1000,nofmad,TeslaT4,215.98283100000003,0.196858,105.527732,2.142194,0.003364
4000,20000.0,1.0,1000,fmad,TeslaT4,5.516473,0.124089,1.244288,1.275001,0.001854
4000,20000.0,1.0,1000,nofmad,TeslaT4,6.251537999999999,0.122559,1.647172,1.233441,0.001858
