N,L,r,steps,threads,gridSize,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,1,4,7700K,167.266886633,167264.159407,211,699636043992,925855082353,70526588027,2000216170
2000,20000.0,1.0,1000,9,2,7700K,39.492766372,313502.221257,129891,1020669356839,1043112203921,72607015890,29227132
2000,20000.0,1.0,1000,10,16,7700K,30.462722999,240968.435763,142418,776740705576,769833474983,68202442475,3556336838
2000,20000.0,1.0,1000,2,64,7700K,63.927966749,127816.501816,1073,486213042748,728919086665,67348640614,3081174438
2000,20000.0,1.0,1000,8,16,7700K,30.077148501,240203.224326,2265,775773030811,769213826299,68109853170,3550990254
2000,20000.0,1.0,1000,19,1,7700K,80.33790059,315702.391966,328599,1017889572076,1044385573625,72863328525,37262868
2000,20000.0,1.0,1000,4,8,7700K,44.882425637,179425.529426,97,605133343018,822777904351,68885312183,3472403004
2000,20000.0,1.0,1000,20,16,7700K,60.942146179,239814.405284,338289,773304802185,771110855182,68460009406,3560674916
2000,20000.0,1.0,1000,6,8,7700K,37.4990749,224817.233273,145,741728447754,822875075166,68909251603,3460215039
2000,20000.0,1.0,1000,20,32,7700K,58.431567568,229348.717596,336085,726733854106,744665660886,68030050757,3317327608
2000,20000.0,1.0,1000,8,8,7700K,32.213632162,257451.677209,378,833147619476,822987999585,68938689666,3456191541
2000,20000.0,1.0,1000,24,8,7700K,67.945163707,267068.46195,411780,838482735511,825526001609,69429578009,3481239500
2000,20000.0,1.0,1000,20,8,7700K,65.977472462,258378.635977,340256,834789670156,825050004551,69333957289,3473090753
2000,20000.0,1.0,1000,10,2,7700K,39.225111888,311242.824785,140352,1014230969946,1043185528774,72621267233,29617798
2000,20000.0,1.0,1000,16,8,7700K,66.958914681,261629.823412,268690,834802732596,824597912032,69242317736,3470939147
2000,20000.0,1.0,1000,12,8,7700K,34.073247514,264036.288806,175521,832854379973,823957109056,69113858572,3462991617
2000,20000.0,1.0,1000,1,1,7700K,197.026133292,197023.611444,251,824759534699,1042133021843,72407584637,24346290
2000,20000.0,1.0,1000,10,8,7700K,32.940809054,260496.455158,141118,843539190069,823762012685,69074094372,3463083719
2000,20000.0,1.0,1000,16,16,7700K,61.123217379,237971.63374,265427,764476306390,770633628421,68363697370,3563337559
2000,20000.0,1.0,1000,28,2,7700K,82.64813062,325993.318416,491274,1022344959107,1045468069422,73080968041,43149795
2000,20000.0,1.0,1000,28,16,7700K,61.90210511,243563.779586,476429,775604938166,772027079448,68644465411,3569468268
2000,20000.0,1.0,1000,21,2,7700K,80.047371199,315733.7346,366276,1019138806641,1044637211655,72913940316,37319142
2000,20000.0,1.0,1000,4,2,7700K,60.32330039,241188.616222,109,829443179788,1042220123912,72436011354,24381807
2000,20000.0,1.0,1000,64,16,7700K,62.397012278,242984.968877,1064513,789562004777,775945974662,69431965327,3588630171
2000,20000.0,1.0,1000,64,32,7700K,59.308449663,230791.095235,1062418,748015414013,749529988159,69007779013,3344744078
2000,20000.0,1.0,1000,40,32,7700K,58.205134627,228694.139298,673535,737272996294,746926619272,68484863798,3332683806
2000,20000.0,1.0,1000,16,32,7700K,58.240724966,225481.506005,264153,723851933371,744198049079,67935580354,3316110782
2000,20000.0,1.0,1000,6,4,7700K,42.279679386,253453.649869,2018,835900306971,926053093867,70582550016,1925670986
2000,20000.0,1.0,1000,6,2,7700K,47.396516782,284202.177716,164,945203331346,1042309040760,72458474430,22803929
2000,20000.0,1.0,1000,4,1,7700K,58.188415717,232643.581836,644,829581158944,1042207633833,72433935380,24238526
2000,20000.0,1.0,1000,1,32,7700K,120.857132055,120850.970213,1399,502660360649,742334296624,67558865410,3253781559
2000,20000.0,1.0,1000,64,64,7700K,28.933418599,224101.451866,1058527,725814898608,735852917759,68741674003,3145502257
