N,L,r,steps,threads,configType,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
3000,20000.0,1.0,1000,20,PureI7,26.013033658,153138.590975,94578,508758755694,484183561944,36559697586,19301660
1000,20000.0,1.0,1000,20,PureI7,3.064923784,17549.311534,78945,58766221142,54471739457,4194747246,6351164
1500,20000.0,1.0,1000,20,PureI7,6.388164877,37104.476103,82017,129395229358,121678094401,9263758976,9201591
2000,20000.0,1.0,1000,20,PureI7,11.190911009,65466.552982,85120,228155005458,215687238535,16345493821,11942771
250,20000.0,1.0,1000,20,PureI7,0.318644622,1580.12281,75619,5546493017,3938966828,369223014,3128000
375,20000.0,1.0,1000,20,PureI7,0.539145425,2877.833351,75719,9963249370,8167297143,691170050,3580083
4000,20000.0,1.0,1000,20,PureI7,47.66767059,280979.151379,106982,902236026885,859939508661,64833823121,28017528
500,20000.0,1.0,1000,20,PureI7,0.888806906,4908.08474,76158,16217063171,14074387763,1139554925,4050475
6000,20000.0,1.0,1000,20,PureI7,106.047688865,627488.432625,143136,2026790970241,1933211919556,145557503581,47784470
750,20000.0,1.0,1000,20,PureI7,1.829629222,10344.85517,77476,33975854827,30919917949,2415048389,5111637
375,20000.0,1.0,1000,20,PureXeS,0.355140519,7036.449622,84,15322980029,7737238740,608879552,1367296
1000,20000.0,1.0,1000,20,PureXeS,1.575066743,31169.848423,182,68097824326,54133894136,4140340172,3840586
1500,20000.0,1.0,1000,20,PureXeS,3.118636678,61736.340275,227,135354574369,121455381266,9242879816,6022989
2000,20000.0,1.0,1000,20,PureXeS,5.409164568,107116.97141,294,234934780193,215609052627,16365841417,8592036
250,20000.0,1.0,1000,20,PureXeS,0.173028215,3416.9957,71,7384667995,3491294920,281975649,939922
3000,20000.0,1.0,1000,20,PureXeS,11.972256032,237171.010614,1459,520490596071,484301600138,36636986151,14689393
4000,20000.0,1.0,1000,20,PureXeS,21.170436348,419421.641887,2618,921021710321,860463327925,65028641652,21587405
500,20000.0,1.0,1000,20,PureXeS,0.516097098,10221.756656,104,22337934320,13661568404,1062494742,1782938
6000,20000.0,1.0,1000,20,PureXeS,47.010918439,931624.367905,2806,2045286481949,1934217507343,145895808255,38239776
750,20000.0,1.0,1000,20,PureXeS,0.942837331,18579.775979,102,40674733998,30611430285,2368474223,2732925
