N,L,r,steps,processes,configType,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
1000,20000.0,1.0,1000,16,PureI7,50.888906299,300243.656652,45200753,999025411203,735107400704,149212864702,3279516952
1000,20000.0,1.0,1000,32,PureI7,146.657404826,868423.893519,110795224,2800169811364,2031525112086,424583951371,10728424378
1000,20000.0,1.0,1000,64,PureI7,178.028940718,1053242.616889,146149985,3332034363546,2400581398719,506702030149,14826927435
1000,20000.0,1.0,1000,8,PureI7,3.062728786,20990.597484,160123,83535864391,94999833921,9187335120,118194567
3000,20000.0,1.0,1000,32,PureI7,295.683980354,1754310.615017,233677826,5591671462607,4113977600718,845299882501,21750738602
3000,20000.0,1.0,1000,64,PureI7,424.015918865,2515787.420947,272815121,7979892372630,5750408330471,1202990081920,34294275031
3000,20000.0,1.0,1000,8,PureI7,32.759920713,194577.90866,4548333,647891570775,781851473527,69583072179,775596529
4000,20000.0,1.0,1000,16,PureI7,99.324713564,588810.669906,64867475,1878649929696,1624504553585,265583468740,5409110864
16000,20000.0,1.0,1000,8,PureI7,665.664476694,4629947.342146,56464458,15392365001759,19671117218467,1492637481813,12403050057
2000,20000.0,1.0,1000,16,PureI7,55.635730377,328703.480963,46168440,1090627514700,853131953638,159964065651,3404505913
2000,20000.0,1.0,1000,32,PureI7,263.264433334,1563361.722594,233072681,4957556145104,3616361488180,753586160731,19864220579
2000,20000.0,1.0,1000,64,PureI7,330.201194438,1960306.921959,250940323,6215127506381,4478145216900,942171611039,27333215444
2000,20000.0,1.0,1000,8,PureI7,13.885155201,96467.098202,406848,326339134313,369229711335,34852650072,429226282
24000,20000.0,1.0,1000,16,PureI7,1103.777567781,6562410.054258,284541930,21657631055542,24543391432423,2476774845958,36409283347
6000,20000.0,1.0,1000,32,PureI7,367.71923982,2180401.372806,258889416,6917324778747,5287631002954,1030984355247,25912883735
6000,20000.0,1.0,1000,64,PureI7,544.142320187,3230456.397341,342295146,10241832081697,7498959402783,1541509826800,43430188758
6000,20000.0,1.0,1000,8,PureI7,128.490313963,763049.110601,11284091,2558093081104,3046389443375,262724412567,2783828717
8000,20000.0,1.0,1000,16,PureI7,183.387402325,1088768.83827,74910564,3476716420207,3578005195718,452701152890,7704347009
12000,20000.0,1.0,1000,8,PureI7,395.652268131,2754333.630831,28847824,9157785451437,11485995620497,918070826102,8539708073
4000,20000.0,1.0,1000,32,PureI7,316.530432226,1878189.887243,234321200,6019077353307,4457067682718,901312882540,22746660048
16000,20000.0,1.0,1000,16,PureI7,543.538526084,3231286.993609,173900328,10645161479610,11878434003956,1302939490888,20208230871
16000,20000.0,1.0,1000,32,PureI7,429.013638545,2549450.350039,208992863,8153291512333,7904173851446,1089899446693,23901462371
16000,20000.0,1.0,1000,64,PureI7,556.20206954,3299813.303408,313287721,10441943514807,8537755147996,1518087541708,39217398926
24000,20000.0,1.0,1000,32,PureI7,706.389179127,4197774.003509,237918155,13287813998785,14207321910502,1697368306544,32463983043
24000,20000.0,1.0,1000,64,PureI7,731.135367022,4347729.805613,423327313,13793745945034,12164102022159,1934835771366,49239411147
24000,20000.0,1.0,1000,8,PureI7,1456.839168547,10147096.568324,108892455,33797104661112,43363166899719,3188082933615,24462348714
3000,20000.0,1.0,1000,16,PureI7,57.067349272,337358.077794,37185613,1087321506269,934757106585,153410015704,3073217976
4000,20000.0,1.0,1000,64,PureI7,507.114893209,3009913.187359,324117668,9624849625242,6947817312055,1447449358023,41464952558
4000,20000.0,1.0,1000,8,PureI7,57.101773122,339502.375726,7597686,1114679247858,1361094400967,118326857913,1263942802
6000,20000.0,1.0,1000,16,PureI7,127.926430018,758880.277441,64527575,2456625030353,2366272928335,328164007945,6365343670
12000,20000.0,1.0,1000,16,PureI7,470.510015917,2312876.213757,173978087,7680268149649,7900586431174,987314380076,16599425401
12000,20000.0,1.0,1000,32,PureI7,363.878529553,2156965.590179,204221822,6900180766374,6142666560851,968658845359,22042401867
12000,20000.0,1.0,1000,64,PureI7,497.922061414,2953731.137689,309260810,9318072746300,7259612695024,1370927017741,36313415757
8000,20000.0,1.0,1000,32,PureI7,304.822737011,1809316.203436,217013157,5736201662330,4672931428740,839063194453,20138670612
8000,20000.0,1.0,1000,64,PureI7,334.149102823,1981091.424005,206042677,6358742472824,4843768038753,949351639321,25165846116
8000,20000.0,1.0,1000,8,PureI7,221.099713556,1314516.416688,31794334,4369837927159,5300417944203,446380090208,4503361426
1000,20000.0,1.0,1000,160,PureXeS,203.62145324,3987575.687336,8680061,8752451353870,6247077581440,1329507464185,44012589652
1000,20000.0,1.0,1000,20,PureXeS,1.392238762,24837.868303,26544,60045627631,77740014315,6016753031,44149245
1000,20000.0,1.0,1000,40,PureXeS,7.45947385,137919.115197,28521,337562937808,256650042085,49416473775,1171149974
3000,20000.0,1.0,1000,20,PureXeS,9.38384608,184080.684414,12937,457160099806,630108967060,41073397716,170324729
3000,20000.0,1.0,1000,40,PureXeS,19.456950932,377398.877012,33095,929348898767,810694862520,127180400887,2765298583
3000,20000.0,1.0,1000,80,PureXeS,315.242674182,6271043.841189,400755,15228843132965,10927337405386,2307146573178,68381238442
32000,20000.0,1.0,1000,20,PureXeS,1008.47167067,20048122.662757,2354793,49623196759095,69576293901359,4278409692504,12320699339
4000,20000.0,1.0,1000,160,PureXeS,456.811303318,8948334.719994,25762607,21146379830744,15085001427402,3194447661196,106127305874
2000,20000.0,1.0,1000,20,PureXeS,4.528201048,87413.230889,11240,215840726590,289709674158,20076604688,106355071
2000,20000.0,1.0,1000,40,PureXeS,12.465278884,237913.318534,26995,583046815315,480135946870,81892311035,1873157857
2000,20000.0,1.0,1000,80,PureXeS,270.323066241,5373910.860638,488738,13061056612844,9282169259754,1968385331136,58448660372
24000,20000.0,1.0,1000,160,PureXeS,502.400104085,9934560.025957,8875893,23887317130502,19297190155235,3416349692584,104420662966
8000,20000.0,1.0,1000,20,PureXeS,63.877408673,1267495.47311,112332,3152673740065,4407473331063,278678549302,967247049
8000,20000.0,1.0,1000,40,PureXeS,39.435615989,774502.035609,40518,1896882412677,2406333201468,195239351153,2253517956
