N,L,r,steps,threads,configType,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
1000,20000.0,1.0,1000,1,PureI7,13.069145732,13068.823199,7,50729108098,51421424739,3583558496,3634376
1500,20000.0,1.0,1000,1,PureI7,29.821889691,29821.45259,12,113890549482,115478023337,8022341252,6083646
2000,20000.0,1.0,1000,1,PureI7,53.23561218,53235.010032,17,202367829351,205096561374,14225046056,8963906
250,20000.0,1.0,1000,1,PureI7,0.827574152,827.392641,2,3198138063,3267657552,233863910,693731
375,20000.0,1.0,1000,1,PureI7,1.853410635,1853.184951,4,7169068190,7298399163,516300317,1096695
500,20000.0,1.0,1000,1,PureI7,3.305942581,3305.705932,5,12716738905,12926712948,909015806,1560420
750,20000.0,1.0,1000,1,PureI7,7.274140722,7273.845627,11,28555576606,28978354381,2025686224,2547965
1000,20000.0,1.0,1000,1,PureXeS,17.755431053,17754.731861,7,50373528697,51425751616,3584299271,3703005
1500,20000.0,1.0,1000,1,PureXeS,39.46444256,39463.624159,29,113128321506,115487594056,8024012856,5942947
2000,20000.0,1.0,1000,1,PureXeS,70.013689225,70012.547499,20,200958485214,205103753014,14226551303,8785457
250,20000.0,1.0,1000,1,PureXeS,1.301093167,1300.62017,2,3178125147,3267991004,233926392,706441
375,20000.0,1.0,1000,1,PureXeS,2.696913043,2696.533797,3,7118012421,7299037429,516413539,1112146
500,20000.0,1.0,1000,1,PureXeS,4.554322636,4553.854992,3,12626114237,12927775447,909205618,1535034
750,20000.0,1.0,1000,1,PureXeS,10.165970775,10165.495858,4,28342309098,28980811227,2026117763,2506011
