N,L,r,steps,config,machine,time,checkWallCollision,checkCollision,settleCollision,updateParticles
1000,20000.0,1.0,1000,fmad,TeslaT4,2.001,0.048989704,0.083673857,0.5817495850000001,0.004053466
1000,20000.0,1.0,1000,nofmad,TeslaT4,1.699,0.043005849,0.10964602200000001,0.505642605,0.003726487
32000,20000.0,1.0,1000,fmad,TeslaT4,107.60900000000001,0.395227,80.203281,2.430987,0.003382
32000,20000.0,1.0,1000,nofmad,TeslaT4,133.051,0.241835,106.174011,2.243514,0.003379
4000,20000.0,1.0,1000,fmad,TeslaT4,4.405,0.126411,1.24989,1.330708,0.001858
16000,20000.0,1.0,1000,nofmad,TeslaT4,36.152,0.154669,26.615418,1.483499,0.002419
2000,20000.0,1.0,1000,fmad,TeslaT4,2.485,0.120564237,0.31664361500000004,0.720381155,0.001632056
6000,20000.0,1.0,1000,fmad,TeslaT4,6.513,0.124784,2.81633,1.318598,0.002115
6000,20000.0,1.0,1000,nofmad,TeslaT4,7.408,0.126968,3.73132,1.288645,0.002086
8000,20000.0,1.0,1000,fmad,TeslaT4,10.016,0.133792,5.266487,1.559088,0.00224
2000,20000.0,1.0,1000,nofmad,TeslaT4,2.503,0.120338904,0.41862709000000004,0.717510131,0.001617944
3000,20000.0,1.0,1000,fmad,TeslaT4,3.415,0.127076,0.705909,1.063397,0.001759
3000,20000.0,1.0,1000,nofmad,TeslaT4,3.695,0.130258,0.934418,1.107256,0.001758
24000,20000.0,1.0,1000,fmad,TeslaT4,62.721000000000004,0.324585,45.246742,2.251775,0.002984
24000,20000.0,1.0,1000,nofmad,TeslaT4,77.551,0.446739,59.818008,2.230517,0.002983
12000,20000.0,1.0,1000,fmad,TeslaT4,17.832,0.137196,11.42504,1.37034,0.002396
12000,20000.0,1.0,1000,nofmad,TeslaT4,21.442,0.136885,15.117574,1.357576,0.002378
16000,20000.0,1.0,1000,fmad,TeslaT4,29.447,0.145358,20.098504,1.448755,0.00242
4000,20000.0,1.0,1000,nofmad,TeslaT4,4.71,0.124832,1.655186,1.266581,0.001861
8000,20000.0,1.0,1000,nofmad,TeslaT4,11.521,0.131195,6.726812,1.424195,0.002161
1000,20000.0,1.0,1000,fmad,TitanRTX,2.004,0.04605941,0.040802938,0.6054672090000001,0.003825956
1000,20000.0,1.0,1000,nofmad,TitanRTX,2.006,0.047171048,0.05247600400000001,0.610610455,0.0037138680000000004
3000,20000.0,1.0,1000,nofmad,TitanRTX,3.203,0.136649,0.43978,1.065898,0.001424
32000,20000.0,1.0,1000,fmad,TitanRTX,65.726,0.415084,37.724972,2.5793,0.002233
32000,20000.0,1.0,1000,nofmad,TitanRTX,77.932,0.450756,49.855033,2.534214,0.002225
2000,20000.0,1.0,1000,fmad,TitanRTX,2.204,0.065465278,0.152080736,0.733191857,0.004323315
2000,20000.0,1.0,1000,nofmad,TitanRTX,2.304,0.068760762,0.199617863,0.743438889,0.004255651
4000,20000.0,1.0,1000,nofmad,TitanRTX,3.91,0.143651,0.777711,1.274491,0.001467
6000,20000.0,1.0,1000,fmad,TitanRTX,5.207,0.138926,1.322986,1.343809,0.001617
6000,20000.0,1.0,1000,nofmad,TitanRTX,5.612,0.146618,1.750905,1.436698,0.001618
8000,20000.0,1.0,1000,fmad,TitanRTX,7.414,0.140203,2.474155,1.615435,0.001676
12000,20000.0,1.0,1000,nofmad,TitanRTX,13.728,0.141811,6.972357,1.434783,0.001819
24000,20000.0,1.0,1000,nofmad,TitanRTX,46.087,0.544231,28.043723,2.24142,0.002015
16000,20000.0,1.0,1000,fmad,TitanRTX,18.84,0.158442,9.330371,1.646229,0.001872
3000,20000.0,1.0,1000,fmad,TitanRTX,3.107,0.133297,0.332967,1.087123,0.001432
4000,20000.0,1.0,1000,fmad,TitanRTX,3.908,0.139016,0.588114,1.373838,0.001467
8000,20000.0,1.0,1000,nofmad,TitanRTX,8.211,0.142762,3.228502,1.622477,0.001661
12000,20000.0,1.0,1000,fmad,TitanRTX,12.026,0.149524,5.336834,1.533403,0.001825
16000,20000.0,1.0,1000,nofmad,TitanRTX,21.84,0.161883,12.430401,1.689992,0.001889
24000,20000.0,1.0,1000,fmad,TitanRTX,38.975,0.472922,21.27904,2.33474,0.002009
1000,20000.0,1.0,1000,fmad,TitanV,2.871,0.056657711,0.075016684,0.565465542,0.022557248000000002
1000,20000.0,1.0,1000,nofmad,TitanV,3.376,0.053657034000000006,0.07693114799999999,0.502338573,0.022880443
24000,20000.0,1.0,1000,fmad,TitanV,30.316,0.266987,14.696489,1.679409,0.003031
24000,20000.0,1.0,1000,nofmad,TitanV,30.652,0.359753,14.743078,1.925488,0.003049
4000,20000.0,1.0,1000,fmad,TitanV,5.015,0.098747,0.411928,1.13317,0.00195
4000,20000.0,1.0,1000,nofmad,TitanV,4.975,0.09762,0.409848,1.107193,0.002009
12000,20000.0,1.0,1000,nofmad,TitanV,11.071,0.101983,3.758845,1.205856,0.002546
16000,20000.0,1.0,1000,fmad,TitanV,16.02,0.10938,6.488212,1.318275,0.002666
16000,20000.0,1.0,1000,nofmad,TitanV,16.108,0.110795,6.48869,1.403767,0.002658
2000,20000.0,1.0,1000,nofmad,TitanV,3.831,0.09255508700000001,0.14671624900000002,0.606144143,0.040969208
3000,20000.0,1.0,1000,nofmad,TitanV,4.328,0.08383431799999999,0.233461648,0.7958095230000001,0.001896775
6000,20000.0,1.0,1000,nofmad,TitanV,6.044,0.095559,0.925702,1.130128,0.002369
8000,20000.0,1.0,1000,fmad,TitanV,7.486,0.094206,1.749191,1.079833,0.002293
12000,20000.0,1.0,1000,fmad,TitanV,11.089,0.101163,3.757142,1.196432,0.002516
2000,20000.0,1.0,1000,fmad,TitanV,3.836,0.09090843700000001,0.144931096,0.612951235,0.035667877
6000,20000.0,1.0,1000,fmad,TitanV,5.999,0.101175,0.920038,1.12591,0.002413
3000,20000.0,1.0,1000,fmad,TitanV,4.552,0.093280479,0.23233396,0.9876747960000001,0.0018757760000000002
32000,20000.0,1.0,1000,nofmad,TitanV,48.917,0.255636,26.127245,2.197034,0.003674
8000,20000.0,1.0,1000,nofmad,TitanV,7.685,0.096887,1.760333,1.15314,0.002343
32000,20000.0,1.0,1000,fmad,TitanV,48.802,0.278062,26.118511,2.117702,0.003669
