"N","L","r","steps","threads","gridSize","machine","wall.clock.time","task.clock","context.switches","cycles","instructions","branches","branch.misses","parTime","seqTime","speedup"
2000,20000,1,1000,1,32,"7700K",119.899458098,119898.135805,33,502067388429,742325327308,67557043538,3255169775,194.582323645,192.820017132,1.60818088914462
2000,20000,1,1000,10,32,"7700K",28.509030233,225479.730866,140515,724577009321,743377094323,67770424051,3312394068,33.979461953,192.820017132,6.76347162832657
2000,20000,1,1000,12,32,"7700K",28.587793899,225737.843367,174426,726678086782,743573362446,67810423493,3310555269,34.772676422,192.820017132,6.74483724813564
2000,20000,1,1000,16,32,"7700K",28.776035195,227163.898988,251703,731637973652,744046300788,67906071480,3315214645,33.941017515,192.820017132,6.70071522450402
2000,20000,1,1000,19,32,"7700K",28.532202246,224926.481573,304548,729787949999,744377644284,67972889117,3315697986,34.13834959,192.820017132,6.75797877323093
2000,20000,1,1000,2,32,"7700K",63.751712193,127468.214538,52,505230488024,742334130869,67564259432,3256956496,99.836064554,192.820017132,3.02454648666161
2000,20000,1,1000,20,32,"7700K",29.058182386,229097.303327,322723,730187063909,744490547012,67995721212,3316941546,34.85686451,192.820017132,6.63565306909558
2000,20000,1,1000,21,32,"7700K",28.801671971,227058.87399,339766,733449255050,744593156735,68016501464,3317378166,34.167566589,192.820017132,6.69475082301291
2000,20000,1,1000,24,32,"7700K",28.845052069,227295.590475,394737,739822454122,744938393302,68086256725,3319199583,34.959673767,192.820017132,6.68468258163504
2000,20000,1,1000,28,32,"7700K",27.967923663,220191.807839,462927,734977329097,745364360984,68172249504,3321379711,34.430326712,192.820017132,6.89432721053548
2000,20000,1,1000,32,32,"7700K",29.09678097,228849.440281,533042,738849476911,745822469286,68264390117,3322921870,35.16527768,192.820017132,6.62685048668461
2000,20000,1,1000,4,32,"7700K",37.752689892,150900.812172,963,506531521388,742411432363,67585342511,3254603041,51.959363332,192.820017132,5.10745108980591
2000,20000,1,1000,40,32,"7700K",29.690952474,233072.440474,667054,742095286640,746693995402,68439677778,3329177817,34.663909361,192.820017132,6.49423481112134
2000,20000,1,1000,6,32,"7700K",32.1038032,192440.652001,128,636286370354,742502934414,67608081849,3289754343,42.362891067,192.820017132,6.00614250999396
2000,20000,1,1000,64,32,"7700K",29.810082858,231381.457906,1058328,749069626554,749276907794,68958841943,3339569401,35.100505005,192.820017132,6.46828182432421
2000,20000,1,1000,7,32,"7700K",30.428309005,212789.64565,115,687392709090,742550362395,67619654431,3296901113,37.118043415,192.820017132,6.33686272544149
2000,20000,1,1000,8,32,"7700K",28.155062033,224985.487482,508,727124069101,742618338438,67638483896,3302157650,33.511003613,192.820017132,6.84850265668033
2000,20000,1,1000,9,32,"7700K",28.685116135,227080.909618,127658,729054068872,743286153519,67752728593,3313236514,33.704767896,192.820017132,6.72195351151922
2000,20000,1,1000,1,32,"XeS4114",173.29332167,173291.720446,45,497749319665,742356751721,67563215438,3278056937,278.367902579,278.44652389,1.60679315975166
2000,20000,1,1000,10,32,"XeS4114",23.179552389,231170.523745,101,507248809079,742682510461,67660109847,3301958008,37.12181928,278.44652389,12.0125927894164
2000,20000,1,1000,12,32,"XeS4114",21.672486503,259291.571393,266,568974851482,742799491654,67690962388,3303180935,31.976795242,278.44652389,12.8479269718985
2000,20000,1,1000,16,32,"XeS4114",18.88075606,301064.258753,339,660675322271,743039373142,67755294544,3306967356,25.154869456,278.44652389,14.7476363237331
2000,20000,1,1000,19,32,"XeS4114",17.337409338,328305.163459,397,720342675140,743184428744,67793701270,3300981150,21.745337283,278.44652389,16.0604458521783
2000,20000,1,1000,2,32,"XeS4114",87.882566967,175684.829661,92,501349908550,742363112796,67570853036,3280397459,141.064834606,278.44652389,3.16839315804871
2000,20000,1,1000,20,32,"XeS4114",16.942368173,337395.655619,421,741058632145,743497700001,67882523970,3306497726,20.932321514,278.44652389,16.4349234443944
2000,20000,1,1000,21,32,"XeS4114",17.166069395,330131.133897,288308,723598747124,744313704702,67971367187,3318218141,21.116180058,278.44652389,16.2207502185156
2000,20000,1,1000,24,32,"XeS4114",17.290055724,330834.364522,341185,725095770147,744667480540,68045322503,3322375196,21.259515911,278.44652389,16.1044318384407
2000,20000,1,1000,28,32,"XeS4114",17.401817621,331689.916836,404956,726851213335,745069002750,68129658522,3324516063,21.412151822,278.44652389,16.0010023064475
2000,20000,1,1000,32,32,"XeS4114",17.519852069,332683.246441,478323,728795383882,745518217354,68224203878,3327718312,21.543190771,278.44652389,15.8932006271154
2000,20000,1,1000,4,32,"XeS4114",47.766943544,190830.607064,142,502514525288,742431051230,67591470850,3299648525,76.432358063,278.44652389,5.82927236350201
2000,20000,1,1000,40,32,"XeS4114",17.716446489,334108.943246,610960,731862865149,746364077992,68399896733,3331850661,21.783111676,278.44652389,15.7168382532516
2000,20000,1,1000,6,32,"XeS4114",37.224141863,222970.811009,90,511261535903,742527363825,67616866071,3308177350,58.996182335,278.44652389,7.48026710500934
2000,20000,1,1000,64,32,"XeS4114",18.306185775,339289.866638,1019574,742415988464,748904562854,68932264183,3345203970,22.344047346,278.44652389,15.2105155772134
2000,20000,1,1000,7,32,"XeS4114",32.118986361,224377.474117,118,514674895327,742566617218,67627850120,3312978890,50.594846531,278.44652389,8.66921890872931
2000,20000,1,1000,8,32,"XeS4114",27.8802418,222550.777899,121,508608907544,742601539865,67638040531,3316305617,44.336820682,278.44652389,9.98723489873032
2000,20000,1,1000,9,32,"XeS4114",25.841498136,231987.613481,297,509047749478,742649023975,67650629151,3303619661,41.043333001,278.44652389,10.7751695518803
