N,L,r,steps,threads,gridSize,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,2,2,7700K,101.089501476,202136.828866,1199,826495743769,1042140376663,72414927572,24445250
2000,20000.0,1.0,1000,32,4,7700K,36.292765046,286265.58883,538235,933274474297,929369582452,71237347450,1885180570
2000,20000.0,1.0,1000,1,1,7700K,196.751902895,196741.528119,1433,823708970420,1042140845323,72409269189,24319153
2000,20000.0,1.0,1000,1,16,7700K,128.346309112,128343.773395,58,537205884688,768760750282,67985036757,3489125081
2000,20000.0,1.0,1000,1,2,7700K,197.148078731,197144.810609,255,824763918784,1042134067474,72407748878,24367927
2000,20000.0,1.0,1000,1,32,7700K,119.899458098,119898.135805,33,502067388429,742325327308,67557043538,3255169775
2000,20000.0,1.0,1000,1,4,7700K,167.182795324,167180.202772,210,699543423831,925854470262,70526495358,1998792632
2000,20000.0,1.0,1000,1,64,7700K,115.736317395,115734.033084,60,484478108975,728901237406,67339728021,3083745135
2000,20000.0,1.0,1000,1,8,7700K,143.555888926,143553.817587,62,600838174848,822695832782,68857988403,3482181820
2000,20000.0,1.0,1000,10,1,7700K,39.507073532,313413.043125,140817,1017860355525,1043189849158,72622014403,29396546
2000,20000.0,1.0,1000,10,16,7700K,30.352414988,240267.291562,139839,768170190255,769811701444,68198148989,3556209401
2000,20000.0,1.0,1000,10,2,7700K,39.44350661,312932.207963,139869,1014161038491,1043180596349,72620347406,29725020
2000,20000.0,1.0,1000,10,32,7700K,28.509030233,225479.730866,140515,724577009321,743377094323,67770424051,3312394068
2000,20000.0,1.0,1000,10,4,7700K,35.76335098,283482.850134,140510,917064660091,926911273484,70740830862,1875888256
2000,20000.0,1.0,1000,10,64,7700K,27.89412972,220592.669037,139737,701985215162,729947120595,67551921717,3117761062
2000,20000.0,1.0,1000,10,8,7700K,32.783825473,259704.468762,140477,832110620937,823756996391,69072993400,3466299328
2000,20000.0,1.0,1000,12,2,7700K,39.669685508,314117.06962,174436,1015553627926,1043384421533,72661689168,30544450
2000,20000.0,1.0,1000,12,4,7700K,35.937151403,284415.98042,174001,922865589702,927106070895,70780475684,1875948534
