N,L,r,steps,threads,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
250,20000.0,1.0,1000,2,7700K,0.452810598,903.70912,2,3439010163,3444930933,269338801,795861
1000,20000.0,1.0,1000,19,7700K,2.573264782,17017.011863,74949,58727110554,54479008936,4196381586,7005336
2000,20000.0,1.0,1000,64,7700K,10.75790448,70599.886297,275719,233915941117,217011583245,16612495285,20064970
1000,20000.0,1.0,1000,4,7700K,3.890786997,15337.200702,4413,54745983240,54023234900,4106061154,4194783
500,20000.0,1.0,1000,32,7700K,0.89085051,5063.750082,127231,17475284093,14416085978,1208788121,5911703
250,20000.0,1.0,1000,24,7700K,0.346070452,1678.766557,93039,5951846870,4054061842,392656125,3765477
1000,20000.0,1.0,1000,16,7700K,2.629053001,17003.257053,63432,58687700466,54403406319,4181155481,6958787
2000,20000.0,1.0,1000,2,7700K,27.017943964,52777.94439,30828,205710556659,215381776310,16284683510,12138385
500,20000.0,1.0,1000,1,7700K,3.184968321,3184.63086,3,12956723250,13590306888,1041122588,1700197
2000,20000.0,1.0,1000,40,7700K,10.535303372,70913.967502,171213,230874853813,216318223766,16472726190,16335422
2000,20000.0,1.0,1000,8,7700K,24.930251625,172443.042664,44766,634988238493,234452581506,21718804740,13005231
250,20000.0,1.0,1000,9,7700K,0.21611933,1273.56055,27539,4446626438,3640228096,308863938,2170052
1000,20000.0,1.0,1000,2,7700K,6.662201568,13312.820231,35,52085062684,53991820211,4098222341,4363497
2000,20000.0,1.0,1000,28,7700K,10.132351499,68593.880143,120967,229591556148,215985382550,16405751436,14804601
1000,20000.0,1.0,1000,7,7700K,2.117338313,14653.778334,1414,58471476614,54051594561,4115719929,3990549
500,20000.0,1.0,1000,19,7700K,0.744687855,4617.658678,71872,16175165981,14063863577,1137591362,4458683
1000,20000.0,1.0,1000,32,7700K,2.748889637,17896.146713,129735,60436575279,54832409850,4267594394,8511480
2000,20000.0,1.0,1000,20,7700K,10.365306664,69113.715273,98073,229083529100,215824806102,16373695673,14613410
1000,20000.0,1.0,1000,12,7700K,2.64468023,17329.328368,46750,58049986539,54293775900,4159145712,6366303
500,20000.0,1.0,1000,9,7700K,0.674046291,4377.509393,29080,15195637848,13792174793,1082667939,3302640
250,20000.0,1.0,1000,7,7700K,0.177436021,1222.319264,119,4305557468,3459827771,273468709,845454
500,20000.0,1.0,1000,10,7700K,0.717386002,4595.493165,32421,15273434873,13814492329,1087172167,3463383
1000,20000.0,1.0,1000,6,7700K,2.777689096,16481.162102,2253,57469005152,54037747354,4111072261,4005345
2000,20000.0,1.0,1000,32,7700K,10.409775583,70262.410097,140436,230139100410,216111946910,16431191546,15273531
