N,L,r,steps,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
1000,10000.0,1.0,1000,7700K,12.479370149,12478.857414,19,50939266778,51448377575,3588257983,4016691
1000,15000.0,1.0,1000,7700K,12.470497007,12469.991641,24,50946069222,51432663151,3585457498,3735404
1000,20000.0,1.0,1000,7700K,12.456510921,12456.129213,10,50917535810,51422896237,3583756754,3624081
1000,20000.0,1.0,1500,7700K,18.976537288,18975.907426,31,76317031417,77080697581,5362524029,5416774
1000,20000.0,1.0,2000,7700K,25.2759291,25275.408989,23,101711300948,102737691337,7141120290,7170249
1000,20000.0,1.0,250,7700K,3.128259096,3127.998958,3,12783085543,12937255864,915818922,962978
1000,20000.0,1.0,3000,7700K,37.345628417,37345.050111,23,152620993702,154051157189,10698251978,10722530
1000,20000.0,1.0,375,7700K,4.731151218,4730.85908,5,19113782404,19351328570,1360424691,1413285
1000,20000.0,1.0,500,7700K,6.349985896,6349.595435,8,25491474265,25765728448,1805104713,1832187
1000,20000.0,1.0,750,7700K,9.56006582,9559.756107,6,38270256957,38594688816,2694486165,2740075
1000,20000.0,16.0,1000,7700K,12.561534527,12561.017503,19,51288439941,51662349526,3627379471,7653685
1000,20000.0,2.0,1000,7700K,12.696230304,12695.859063,13,50904742122,51416706587,3582624749,3738307
1000,20000.0,3.0,1000,7700K,12.706900095,12706.430935,19,50961413013,51429208432,3584814509,3975547
1000,20000.0,4.0,1000,7700K,12.510764191,12510.390152,12,51004945597,51445445600,3587702613,4246297
1000,20000.0,6.0,1000,7700K,12.758022821,12757.709383,5,51113597223,51481539320,3594211912,4899181
1000,20000.0,8.0,1000,7700K,12.78003305,12779.524361,21,51037392444,51519783660,3601144721,5463212
1000,30000.0,1.0,1000,7700K,12.766639375,12766.135065,23,50894855611,51415894426,3582518458,3505586
1000,40000.0,1.0,1000,7700K,12.57897624,12574.792772,835,50940336752,51417187681,3582935453,3510291
1000,5000.0,1.0,1000,7700K,12.805191223,12804.759224,13,51045250952,51497528988,3597035947,4774133
1000,7500.0,1.0,1000,7700K,13.212603889,13212.246899,7,51746825148,51465175950,3591255857,4229356
1500,20000.0,1.0,1000,7700K,28.455107614,28454.588117,20,116309926824,115481484742,8022804340,6057067
2000,20000.0,1.0,1000,7700K,50.856346541,50855.412367,29,203196643336,205094049450,14224693403,8940980
250,20000.0,1.0,1000,7700K,0.820031575,819.743189,6,3219508660,3267774189,233884200,698049
375,20000.0,1.0,1000,7700K,1.769649941,1769.405147,4,7217155741,7298605602,516325856,1104552
500,20000.0,1.0,1000,7700K,3.139991392,3139.690629,6,12825821901,12927074754,909061660,1554844
750,20000.0,1.0,1000,7700K,7.026915997,7026.553667,12,28682248335,28979144413,2025788550,2542295
1000,10000.0,1.0,1000,XeS4114,18.280355876,18279.703103,7,50417166165,51450338013,3588701635,3983561
1000,15000.0,1.0,1000,XeS4114,18.374564729,18373.872487,7,50389179231,51435615078,3586068417,3794870
1000,20000.0,1.0,1000,XeS4114,18.689269978,18688.581764,7,50387524231,51426636074,3584476220,3651120
1000,20000.0,1.0,1500,XeS4114,27.602010437,27601.234258,10,75574903339,77085592092,5363489554,5420781
1000,20000.0,1.0,2000,XeS4114,36.316266175,36315.359147,14,100666719897,102743878788,7142351156,7176327
1000,20000.0,1.0,250,XeS4114,4.77469618,4774.133856,3,12636010048,12938278309,916023464,973066
1000,20000.0,1.0,3000,XeS4114,54.536089877,54535.089129,18,151117827691,154061881245,10700376731,10776082
1000,20000.0,1.0,375,XeS4114,7.369744566,7369.173927,4,18930336193,19352989052,1360743358,1423455
1000,20000.0,1.0,500,XeS4114,9.419253545,9418.663389,7,25230172495,25767827509,1805482432,1931384
1000,20000.0,1.0,750,XeS4114,14.021623373,14020.943416,6,37806543596,38597269506,2694998853,2804041
1000,20000.0,16.0,1000,XeS4114,18.606213884,18605.468565,9,50774820317,51665709693,3628034881,7647402
1000,20000.0,2.0,1000,XeS4114,18.449032233,18448.406728,7,50391281558,51420001131,3583278548,3761247
1000,20000.0,3.0,1000,XeS4114,18.567309365,18442.299595,1161,50436600839,51445370661,3588335420,4080358
1000,20000.0,4.0,1000,XeS4114,18.355547028,18241.923172,1050,50463580116,51460530866,3590976967,4360173
1000,20000.0,6.0,1000,XeS4114,18.534916536,18534.20355,7,50496298511,51484833955,3594855723,4895174
1000,20000.0,8.0,1000,XeS4114,18.921953344,18921.229797,7,50556514207,51523283915,3601824258,5497994
1000,30000.0,1.0,1000,XeS4114,18.747638362,18659.457376,823,50442560016,51428416280,3585222007,3611361
1000,40000.0,1.0,1000,XeS4114,18.741866342,18612.79713,1213,50383569164,51429713127,3585672891,3586035
1000,5000.0,1.0,1000,XeS4114,18.714152473,18712.821147,42,50474456171,51501163122,3597757939,4736463
1000,7500.0,1.0,1000,XeS4114,18.790786899,18790.165778,7,50436283406,51468295171,3591868682,4232328
1500,20000.0,1.0,1000,XeS4114,41.173907302,41172.775781,17,113214103245,115488885684,8024237544,6148288
2000,20000.0,1.0,1000,XeS4114,72.816698219,72815.417553,21,201218546606,205106559428,14227110132,9031455
250,20000.0,1.0,1000,XeS4114,1.300207647,1299.70202,3,3178614895,3268032300,233937108,701185
375,20000.0,1.0,1000,XeS4114,2.793740609,2793.204841,3,7125222530,7299164165,516441562,1128462
500,20000.0,1.0,1000,XeS4114,4.818805156,4812.545364,58,12638201282,12928678544,909395622,1567375
750,20000.0,1.0,1000,XeS4114,10.991464729,10987.542882,483,28355217545,28985399752,2027018464,2557545
